Month,RegionName,lower,upper,predicted
2018-08-01,10570,620407.0764594994,674799.4022355691,647603.2393475343
2018-08-01,10707,611076.1039640659,654215.4617957242,632645.7828798951
2018-08-01,10522,708164.6823775632,763676.392668713,735920.5375231381
2018-08-01,10514,861788.5114936308,957798.2408621687,909793.3761778998
2018-08-01,10589,423987.4671855312,465979.1615318964,444983.3143587138
2018-08-01,10709,672840.1768285043,723481.2499618779,698160.7133951911
2018-08-01,10536,625635.4820172364,676612.4352200945,651123.9586186655
2018-08-01,10604,643390.6757957224,688246.8488865554,665818.7623411389
2018-08-01,10510,720977.8215420011,779049.9388727453,750013.8802073732
2018-08-01,10553,294688.0510339269,350264.5453486396,322476.29819128325
2018-08-01,10706,761518.963862462,837293.4174172,799406.190639831
2018-08-01,10523,390389.56410577166,439646.4153612472,415017.9897335094
2018-08-01,10533,867734.3507632194,961255.0841287728,914494.7174459961
2018-08-01,10504,934906.0365890649,1075870.317795217,1005388.177192141
2018-08-01,10547,350328.50567922235,378397.68416479934,364363.09492201085
2018-08-01,10590,435402.16110127483,573567.1238137452,504484.64245751005
2018-08-01,10607,503796.0658065333,540762.75792088,522279.41186370666
2018-08-01,10595,557846.216475814,599506.0074225002,578676.1119491571
2018-08-01,10506,829022.206462559,934295.6613953249,881658.933928942
2018-08-01,10507,489153.6582143109,561725.45574666,525439.5569804854
2018-08-01,10502,628770.8657326384,691211.435858845,659991.1507957417
2018-08-01,10576,773293.0473290838,843194.7556913579,808243.9015102208
2018-08-01,10532,446177.2271125398,504259.80601492967,475218.51656373474
2018-08-01,10560,462883.562930794,556538.9414563838,509711.2521935889
2018-08-01,10594,603121.9051990171,643066.4467401851,623094.1759696011
2018-08-01,10588,376023.6027040885,415401.3092500156,395712.45597705204
2018-08-01,10537,233497.1081822833,260890.8805030652,247193.99434267424
2018-08-01,10577,967923.9563180236,1157763.7954760897,1062843.8758970567
2018-08-01,10526,407089.956294359,492091.72535089107,449590.84082262503
2018-08-01,10546,595870.2764054929,665911.2936368863,630890.7850211896
2018-08-01,10518,514869.5864411953,614444.4831974815,564657.0348193384
2018-08-01,10501,560759.5653628182,629480.9321023991,595120.2487326086
2018-09-01,10701,441648.4950732366,490089.64349468047,465869.0692839585
2018-09-01,10583,1017599.4902697732,1112378.712313869,1064989.101291821
2018-09-01,10801,497083.16843808396,537878.4377992614,517480.8031186727
2018-09-01,10705,460278.3560966925,516004.1830260933,488141.2695613929
2018-09-01,10550,260753.00266287458,345440.99609235657,303096.9993776156
2018-09-01,10573,618036.6233947228,668856.243349124,643446.4333719234
2018-09-01,10704,445848.28000396566,490769.05576927454,468308.6678866201
2018-09-01,10562,406975.0207285981,442085.305631957,424530.16318027757
2018-09-01,10710,490192.99754171085,530885.7229836585,510539.3602626847
2018-09-01,10598,432262.3185928475,470775.36838465167,451518.8434887496
2018-09-01,10708,938263.9040553183,1084446.8866271968,1011355.3953412576
2018-09-01,10566,279757.510608354,324982.0965055736,302369.8035569638
2018-09-01,10591,586147.164876594,644847.1371714917,615497.1510240429
2018-09-01,10552,518069.42178100493,599132.5156915465,558600.9687362757
2018-09-01,10543,738773.3141110354,830452.7827793824,784613.0484452089
2018-09-01,10605,756074.0828539301,821658.7073267163,788866.3950903232
2018-09-01,10703,410457.21728265495,452573.14974503685,431515.1835138459
2018-09-01,10805,569016.8424918201,676768.5228798221,622892.6826858211
2018-09-01,10603,475717.58484302915,530576.8631898478,503147.2240164385
2018-09-01,10538,1198944.3814600776,1326688.6120982245,1262816.496779151
2018-09-01,10567,375659.6201106134,420892.8624698963,398276.24129025487
2018-09-01,10580,1615004.4960137128,1799434.7833769384,1707219.6396953256
2018-09-01,10549,698344.0572929672,794437.4130556517,746390.7351743095
2018-09-01,10530,593627.7475080341,649088.4666331443,621358.1070705892
2018-09-01,10606,601816.3493998478,647435.384587397,624625.8669936224
2018-09-01,10520,508169.7094322227,570356.2173581,539262.9633951613
2018-09-01,10804,707811.3512171886,780954.5987243147,744382.9749707517
2018-09-01,10528,1116630.270640489,1316433.7899516576,1216532.0302960733
2018-09-01,10803,885375.7122196148,994971.6207508938,940173.6664852543
2018-09-01,10570,615874.0488782802,684973.7939343643,650423.9214063223
2018-09-01,10707,608830.454653958,663254.877191018,636042.665922488
2018-09-01,10522,703257.4107571844,774172.4702959288,738714.9405265566
2018-09-01,10514,857271.5648464577,984666.1933380719,920968.8790922648
2018-09-01,10589,419889.09624206537,472150.5608946819,446019.82856837363
2018-09-01,10709,667108.9970225851,731788.4109542229,699448.703988404
2018-09-01,10536,621521.152111759,685984.4679019197,653752.8100068393
2018-09-01,10604,643477.526387482,700513.9245453039,671995.7254663929
2018-09-01,10510,719291.4812660286,793276.9449558865,756284.2131109575
2018-09-01,10553,287687.587488636,355518.22062185814,321602.9040552471
2018-09-01,10706,762285.2024115631,859754.5260441087,811019.8642278359
2018-09-01,10523,384839.3522264353,447341.29681193025,416090.3245191828
2018-09-01,10533,853715.9379977161,976514.2458069149,915115.0919023155
2018-09-01,10504,934007.0509193868,1113099.7175119047,1023553.3842156457
2018-09-01,10547,347144.3289235437,382818.2764426593,364981.3026831015
2018-09-01,10590,415085.6040312079,592061.7438874617,503573.67395933485
2018-09-01,10607,504028.1995244954,551217.8584250145,527623.028974755
2018-09-01,10595,553658.9779750757,605327.2592378784,579493.118606477
2018-09-01,10506,822283.3584616946,955734.7756929107,889009.0670773026
2018-09-01,10507,477242.29739439295,569108.8749172047,523175.58615579887
2018-09-01,10502,615758.5865311818,697214.1205157747,656486.3535234783
2018-09-01,10576,768750.0586590782,847737.7443613637,808243.901510221
2018-09-01,10532,427478.78599223186,501072.95364610216,464275.869819167
2018-09-01,10560,447381.8380958506,571861.1298410539,509621.48396845226
2018-09-01,10594,599841.3916504959,650612.2974074093,625226.8445289526
2018-09-01,10588,372591.84534976963,418834.5920449027,395713.21869733615
2018-09-01,10537,232387.5778451216,267507.39978664415,249947.48881588285
2018-09-01,10577,947844.9823166293,1179612.7011862567,1063728.841751443
2018-09-01,10526,401567.79235518415,497613.8892900659,449590.84082262503
2018-09-01,10546,598504.4480957459,686858.6912708548,642681.5696833003
2018-09-01,10518,508418.72551744455,620895.3735737884,564657.0495456165
2018-09-01,10501,551727.4516426449,637641.7099462269,594684.5807944359
2018-10-01,10701,436702.7823441578,497516.5152543982,467109.648799278
2018-10-01,10583,1007118.3001166576,1123414.9356498602,1065266.617883259
2018-10-01,10801,490295.37472854846,540424.3299615345,515359.85234504147
2018-10-01,10705,455603.7712345414,524603.327032527,490103.54913353414
2018-10-01,10550,250909.0741799353,354660.8505437899,302784.9623618626
2018-10-01,10573,618809.3999286778,681549.8902688369,650179.6450987573
2018-10-01,10704,443642.2481962183,499246.80115104746,471444.52467363287
2018-10-01,10562,404298.7375005504,447596.8512056785,425947.79435311444
2018-10-01,10710,487367.41379206156,536967.5170366544,512167.465414358
2018-10-01,10598,428679.8178253686,476337.5305547003,452508.67419003445
2018-10-01,10708,943663.4888234722,1127939.4404563403,1035801.4646399063
2018-10-01,10566,278572.8938378686,334004.9224643217,306288.90815109515
2018-10-01,10591,577976.8319609438,650561.4502451061,614269.141103025
